Title,Description,Price,Capacity,Grape,Secondary Grape Varieties,Closure,Country,Unit,Characteristics,Per bottle / case / each,Type,ABV,Region,Style,Vintage,Appellation
"The Ned 'Waihopai River' Sauvignon Blanc 2023, Marlborough","Our bestselling white wine. Winemaker Brent Marris’ father was the first person to plant Sauvignon vines in Marlborough. Brent has had just as big an impact on Kiwi Sauvignon. He’s got rafts of awards to show for it, and that certainly reflects here. It’s the most refreshing thing you could pour into your glass. Full of gooseberry and grapefruit flavours, it’s grassy, tropical and seriously aromatic. Fantastic with Thai fishcakes.

In 2022, this wine won an IWC award for the 2021 vintage.",£11.99 per bottle,75CL,Sauvignon Blanc,,Screwcap,New Zealand,9.8,"Tropical Fruit, Gooseberry, Grapefruit, Grass, Green Apple, Lemon",per bottle,White,ABV 13.00%,Marlborough,Crisp & Zesty,2023,
Moët & Chandon 'Brut Impérial' Champagne,"Moët is the ultimate celebratory fizz. The house is credited with inventing the Champagne glass pyramid. The victorious ‘spray’ of Champagne familiar to sport podiums is also down to them. But not only does their famous label put you in a party mood – it’s also a fantastic wine. It’s crisp and refreshing, but rich and ripe and full of stone fruit flavours. Think peach and lemon zest. With aromas of biscuit and brioche, it’s as decadent as it is moreish.

In 2022, this wine won an IWC award.",£46.99 per bottle,75CL,Chardonnay,"Pinot Noir, Pinot Meunier",Natural Cork,France,9,"Citrus Fruit, Biscuit, Bread",per bottle,White,ABV 12.00%,,Crisp & Fruity,NV,
"Chosen By Majestic Greek White 2022, Peloponnese","We sent our award-winning buying team all around the world on an exciting new mission: to curate a new collection showcasing the best examples of key regions and core grape varietals – at wallet-friendly prices. Greece is one of the world’s most underrated winemaking regions, so we just had to create a wine to add to the Chosen by Majestic collection. Working with the esteemed Kintonis Winery, we created this crisp and refreshing blend of Malagousia, Roditis and Assyrtiko – all grown on high-altitude vineyards.",£11.29 per bottle,75CL,Malagousia,"Assyrtiko, Roditis",Screwcap,Greece,9.8,"Blossom, Lemon, Lime, Peach, Pear",per bottle,White,ABV 13.00%,Greece,Fresh & Elegant ,2022,
"Miraval Rosé 2021/22, Côtes de Provence","Miraval shot to fame when Angelina Jolie and Brad Pitt bought it. But its real brilliance lies with its winemakers: the prestigious Perrin family. This prestigious family are one of the most respected in the Rhône Valley. And the expertise really shines in this Provence rosé. This is a beautifully pale-pink rosé, with notes of wild strawberry, stone fruit, tangerine and white flowers. Try it with white fish and fennel.",£22.99 per bottle,75CL,Cinsault,"Syrah, Grenache, Rolle",Natural Cork,France,9.8,"Strawberry, Herbaceous, Peach, Raspberry",per bottle,Rosé,ABV 13.00%,Provence,Delicate & Dry,2022,Côtes De Provence
Taittinger Brut Réserve Champagne,"The first time Pierre Taittinger visited Champagne was as an injured officer during WWI. He promised himself that he would return and buy an estate for his family. In 1932 he did just that. The sale included some of the original vineyards which had been planted by Benedictine monks in the 1730s. And the rest is history. This is a classic Champagne, full of honeysuckle, brioche and pear flavours. Taittinger was Bond’s Champagne of choice in the original novels, so try it with something equally sophisticated. We suggest cheese gougères, fresh from the oven.",£45.99 per bottle,75CL,Chardonnay,,Natural Cork,France,9.4,,per bottle,White,ABV 12.50%,,Crisp & Fruity,NV,
"Peyrassol 'Réserve des Templiers' Rosé 2022, Côtes de Provence","La Commanderie de Peyrassol was established in the 13th century by the Knights Templar. Today, it’s one of the most renowned estates in Provence. The team there are committed to quality – they manage each of their vineyards like a grand cru, and their grapes are grown organically. This rosé is a blend of five different varieties, which are harvested in the coolest hours of the night to preserve their exceptional freshness. Discover crisp notes of peach, raspberry and citrus zest, with a delicate herbal character. Several months of lees ageing gives it a rounded texture that’s perfect with seafood or a niçoise salad.",£15.99 per bottle,75CL,Cinsault,"Syrah, Grenache",Natural Cork,France,9.8,"Strawberry, Herbaceous, Peach, Raspberry",per bottle,Rosé,ABV 13.00%,Provence,Delicate & Dry,2022,Côtes De Provence
Laurent-Perrier 'La Cuvée' Brut Champagne,"Laurent-Perrier began in 1812, but this Champagne house isn't one to stick to traditions. The winemaking team recently tore up the recipe for their non-vintage cuvée. The old wine was already one of the best-selling Champagnes in the world – but they knew they could create something even better. They weren’t wrong. La Cuvée was released in 2017. It's a uniquely fresh fizz made predominantly from Chardonnay – and it remains a popular choice for discerning Champagne fans. It's a superb marriage of white blossom, citrus and peach, with delicate toasty notes and a light mousse.",£49.99 per bottle,75CL,Chardonnay,"Pinot Noir, Pinot Meunier",Natural Cork,France,9,"Green Apple, Biscuit, Bread, Citrus Fruit",per bottle,White,ABV 12.00%,,Crisp & Fruity,NV,
Heidsieck & Co. Monopole 'Gold Top' Champagne 2018,"Heidsieck & Co. are one of only 24 Grand Marque Champagne houses. You can always rely on these highly esteemed houses for quality, but Heidsieck stands out for combining quality with incredible value. Gold Top is their most decadent cuvée. The wine is aged for up to a decade before it's released, so such a lengthy process results in seriously luxurious bubbles. The long ageing means the rich, toasty, creamy flavours are dialled right up. It’s aromatic and citrusy, with a lush texture and a lingering finish.",£33.99 per bottle,75CL,Chardonnay,Pinot Noir,Natural Cork,France,9.4,"Pear, Biscuit, Cream, Green Apple, Lemon, Quince, Red Apple",per bottle,White,ABV 12.50%,,Rich & Toasty,2018,
"Caves d'Esclans 'Whispering Angel' Rosé 2022, Côtes de Provence","Winemaker Sacha Lachine is a master of the art of rosé. In 2006, he took over Caves d'Esclans with a vision to create some of the world's greatest wine. To do so, he introduced groundbreaking winemaking techniques. This revolutionised Provence rosé – with Whispering Angel as the figurehead. This iconic wine has a wealth of awards behind it, and it's clear to see why. It has fresh notes of apple, pink grapefruit, peach and cream, and a long, smooth finish. Perfect with smoked salmon.",£23.99 per bottle,75CL,Grenache,"Rolle, Cinsault",Natural Cork,France,10.1,"Strawberry, Herbaceous, Peach, Raspberry",per bottle,Rosé,ABV 13.50%,Provence,Delicate & Dry,2022,Côtes De Provence
"Two Hands 'Angels' Share' Shiraz 2021/22, McLaren Vale","Two Hands successfully prove that not all Aussie Shiraz is equal. Founded in the 1990s, their mission was to break the mould and showcase the diversity of this iconic grape. They’ve more than succeeded – and they’re now regarded as Shiraz experts. ‘Angels' Share’ was one of their very first wines. Its name refers to the small amount of wine that evaporates from oak barrels during maturation, which mediaeval winemakers believed angels took as they watched over their wines. It’s brilliantly bold and flavoursome – a full-on Australian Shiraz, with a silky texture and smooth tannins. Flavours of blueberry, dried herbs and a hint of game are ideal for barbecued meats.",£21.99 per bottle,75CL,Shiraz,,Screwcap,Australia,10.8,"Vanilla, Black Fruit, Black Pepper, Blackcurrant, Blueberry, Coffee, Jammy, Raisin, Red Fruit, Red Plum",per bottle,Red,ABV 14.40%,South Australia,Bold & Spicy,2022,Mclaren Vale
Cave de Lugny 'Reserve' Mâcon-Chardonnay 2021/22,"The small village of Mâcon-Chardonnay isn’t coincidentally named. It claims to be the birthplace of Chardonnay and made a name for itself in the 19th century for producing high-quality wines. Cave de Lugny is a true specialist – it’s the biggest Chardonnay producer in Burgundy, but it doesn’t rest on its laurels. They prove that classic white Burgundy doesn’t have to be expensive. The wine is rested on its lees which intensifies the flavours and gives it a delicious creaminess. Discover ripe fruit flavours. Peach. Apricot. Apple. And plenty of citrusy freshness. It’s fantastic with soft, creamy cheese.",£15.99 per bottle,75CL,Chardonnay,,Screwcap,France,9.8,"Peach, Apricot, Floral, Honey, Lemon",per bottle,White,ABV 13.00%,Burgundy,Ripe & Rounded,2022,Macon
"Villa Maria 'Private Bin' Sauvignon Blanc 2022, Marlborough","It took a lot of guts in the early 1960s, when George Fistonich – now Sir George – told his dad he was quitting a career in carpentry to try his hand at making wine. The gamble has seriously paid off. Villa Maria is a household name and the acclaimed producer is so successful it holds the coveted title as New Zealand’s most-awarded winery. A benchmark for quality, Villa Maria boasts ripe notes of gooseberry, lime and tropical fruit. Fresh acidity and a dry, refreshing finish mean it’ll make a fantastic partner for white-fish dishes.

In 2022, this wine won an IWC award for the 2021 vintage.",£12.49 per bottle,75CL,Sauvignon Blanc,,Screwcap,New Zealand,9.4,"Tropical Fruit, Gooseberry, Grapefruit, Grass, Green Apple, Lemon, Stone Fruit",per bottle,White,ABV 12.50%,Marlborough,Crisp & Zesty,2022,
"Nyetimber 'Classic Cuvée' Brut, Sussex","Nyetimber's head winemaker, Cherie Spriggs, was the first person outside Champagne to be awarded Sparkling Winemaker of the Year in 2018. She was also the first woman to win the accolade. Classic Cuvée is Nyetimber’s flagship fizz and it's made in the same way as traditional French sparkling, giving it equally complex flavours. Cherie is devoted to impeccably high standards at each stage of production. No wonder this has outperformed some of the finest Champagne in blind tastings. It has a stream of fine, delicate bubbles and flavours of toasted brioche, golden apple, honey and sweet spice.

We currently have a very limited number of special coronation edition bottles in stock – please contact your local store to confirm availability.",£42.99 per bottle,75CL,Chardonnay,"Pinot Noir, Pinot Meunier",Natural Cork,England,9,"Peach, Biscuit, Bread, Citrus Fruit, Green Apple",per bottle,White,ABV 12.00%,Sussex,Rich & Toasty,NV,
La Gioiosa Prosecco Valdobbiadene DOCG,"The Moretti Polegato family have been making Prosecco for three generations. And this is their cream-of-the-crop fizz. Conegliano Valdobbiadene DOCG is Prosecco's version of a Grand Cru. These rolling hills are where you'll find the very best of the region’s sparkling wine. So if you're going to pick just one bottle, make it this. Expect a soft, creamy mousse with elegant notes of apple, stone fruit and blossom. It’s fantastic with salmon.",£15.99 per bottle,75CL,Glera,,Natural Cork,Italy,8.3,"Pear, Citrus Fruit, Floral, Green Apple",per bottle,White,ABV 11.00%,Prosecco Docg,Crisp & Fruity,NV,
"Definition English Sparkling Brut, Hampshire","The Definition range brings the world’s greatest wines to Majestic customers. In recent years, English Sparkling Wine has boomed in popularity, and we wanted to capture all of its unique charm. This is made with Chardonnay, Pinot Noir and Pinot Meunier grapes in the heart of Hampshire. It’s beautifully crisp and elegant with notes of lemon and toasty brioche, and a creamy texture. The ultimate apéritif.",£29.99 per bottle,75CL,Chardonnay,"Pinot Meunier, Pinot Noir",Natural Cork,England,9,"Citrus Fruit, Cream, Green Apple, Pastry",per bottle,White,ABV 12.00%,Hampshire,Crisp & Fruity,NV,
"Chapel Down Brut, Kent","Chapel Down is the UK’s largest winemaker – and one of its best. Even ten years ago, English wine wasn’t something any wine lover gave much time to. Its thanks to pioneers like Chapel Down that that’s all changed and English wine has gained the recognition it deserves. Their vineyards are ideally positioned in the south-east, with HQ among the oast houses, deep in picturesque East Sussex. Here, the chalk soils and balmy climate are ideal for making crisp wines. It’s made using the laborious and expensive ‘traditional method’, standard in Champagne. But though it’s made from the same grapes – Chardonnay and Pinot Noir – these are altogether zestier bubbles. Apple. Lemongrass. Quince. It’s fresh, fruity and really moreish. Perfect to cut through the crunchy batter of fish and chips.",£29.99 per bottle,75CL,Pinot Noir,"Pinot Meunier, Chardonnay, Pinot Blanc",Natural Cork,England,9.8,"Pear, Cream, Green Apple",per bottle,White,ABV 13.00%,Kent,Crisp & Fruity,NV,
"Mud House Sauvignon Blanc 2022, Marlborough","Mud House is one of the biggest names in Marlborough. They’re known for their zingy and deliciously fresh wines, which are textbook examples of Marlborough Sauvignon. Ever since we introduced it, this zesty white has been a firm customer favourite. It's the perfect 'just in case' wine to have in the fridge door. It’s intensely refreshing and bursting with tropical-fruit aromas. Think passionfruit, grapefruit, melon and citrus. Perfect with Thai fishcakes.",£11.99 per bottle,75CL,Sauvignon Blanc,,Screwcap,New Zealand,9.4,"Tropical Fruit, Grass, Green Apple, Lemon, Stone Fruit",per bottle,White,ABV 12.50%,Marlborough,Crisp & Zesty,2022,
"Château de Berne ‘Inspiration’ Rosé 2021/22, Côtes de Provence","A stunning property and landmark of Provence, Château de Berne is a luxurious hotel with a Michelin-starred restaurant. It also happens to be located on a 18th-century wine estate, making it a pilgrimage for food & wine lovers around the world. Their eye-catching square bottles don’t just look the part, they taste great too. Inspiration rosé has remarkable freshness due to the grapes having been picked at nighttime, when the heat of the day has dropped. Concentrated yet elegant, it has vibrant summer fruits with a hint of mango, and lively, balanced acidity. Match its freshness with lemony roast chicken sprinkled with plenty of Provençale herbs.",£17.99 per bottle,75CL,Grenache,"Syrah, Cinsault",Natural Cork,France,9.8,"Strawberry, Herbaceous, Peach, Raspberry",per bottle,Rosé,ABV 13.00%,Provence,Delicate & Dry,2022,Côtes De Provence
"Domaine La Chautarde Rosé 2022, Côteaux Varois en Provence","Although Provence rosé is replicated the world over, nothing beats the real thing. And Côteaux Varois en Provence is one of the best places to find it at a pocket-friendly price. It’s an under-the radar region sheltered by a series of mountain ranges – keeping the climate cool and the wines fresh. We loved this one so much that we just had to make it exclusive to Majestic. It’s crisp and dry with plenty of fresh acidity. Expect flavours of watermelon, cherry and subtle herbal notes – brilliant with tomato and seafood pasta finished with fresh herbs.",£13.99 per bottle,75CL,Grenache,"Syrah, Carignan, Cinsault",Screwcap,France,9.8,"Strawberry, Peach, Raspberry",per bottle,Rosé,ABV 13.00%,Provence,Delicate & Dry,2022,Coteaux Varois-En-Provence
Marqués de Riscal Rioja Reserva 2018/19,"Marqués de Riscal made Rioja what it is today. Up until the 1850s the locals had made only light, young wines. Then, in 1858, Riscal introduced the ‘Bordeaux method’, barrel ageing. From that moment on, the practice became integral to Rioja. Today, Riscal Reserva is one of the most famous wines in Spain. Each grape is selected from vines that are at least 50 years old. Mature vines make the tastiest grapes. So the wine is incredibly rich and concentrated. It’s full of summer-berry flavours and notes of liquorice and vanilla spice. Perfect with jamón.",£17.99 per bottle,75CL,Tempranillo,Graciano,Natural Cork,Spain,10.9,"Vanilla, Black Fruit, Red Fruit",per bottle,Red,ABV 14.50%,Rioja And Navarra,Savoury & Full Bodied,2019,Rioja
"Ridgeview 'Cavendish' Brut, Sussex","The Roberts family began crafting sparkling wine in Ditchling in the mid-nineties. Their winery is now regarded as one of England’s finest. Some bottlings have even been served at state banquets hosted by the Royal Household – a sure sign of their excellence. Now managed by the second generation, sustainability is at the heart of their business, and Ridgeview is currently the only holder of B Corp certification for a traditional method English sparkling wine company. Cavendish is a classic, equal-part blend of Chardonnay, Pinot Noir and Pinot Meunier. After 25 years of experience, Simon Roberts ensures only the finest grapes make the cut. Rich. Rounded. Toasty. It’s elegant fizz, with lots of citrus, red-fruit and almond flavours with gentle spice. Consider this an excellent alternative to your favourite bottle of premium French sparkling wine.",£39.99 per bottle,750ML,Pinot Noir,"Chardonnay, Pinot Meunier",Natural Cork,England,9,"Almond, Lemon, Red Cherry, Toast",per bottle,White,ABV 12.00%,Sussex,Rich & Toasty,NV,
"The Ned ‘Skyscraper’ Sauvignon Blanc 2022, Marlborough","Marlborough Sauvignon Blanc is all about fresh, zingy flavours. And the chief winemaker of The Ned, Brent Marris, makes sure his wines have exactly that. By owning all his own vineyards and harvest equipment, he is able to decide the very best moment to pick – when grapes are optimally ripe and fresh. Take one sniff of your glass and you’ll know he’s got it spot on. Lively aromas of grapefruit, apple and stone fruits are balanced by a wet-stone minerality, crisp acidity and a long finish. Try it with a grilled chicken salad.

In 2022, this wine won an IWC award for the 2021 vintage.",£14.99 per bottle,75CL,Sauvignon Blanc,,Screwcap,New Zealand,10.1,"Grapefruit, Grass, Green Apple, Lemon, Stone Fruit, Tropical Fruit, Wet Stones",per bottle,White,ABV 13.50%,Marlborough,Crisp & Zesty,2022,
"The Guv'nor VIP, Spain","Just when you thought all the rules were broken… The Guv’nor VIP is not the best of two worlds, but three. Robbing grapes from some of the biggest names in Spain – Rioja, Ribera del Duero, Toro – this pioneering bandit doesn’t care about tradition, only great taste. It's an upgrade on everything the Guv'nor stands for: better grapes, meticulously applied oak, and an even smoother, fruitier taste. He’s taken Majestic’s number one best-selling wine, and made it even better. The Guv’nor rewrote the rule book on wine, taking away vintages, classifications and restrictions. This wine packs a punch with bold flavours of black cherry, red plum, and blackberry, balanced with a touch of savoury oak and mellow spice. It's like a black forest gateau with a kick. Drink with rich dishes and great company.",£11.99 per bottle,75CL,Tempranillo,,Natural Cork,Spain,10.5,"Cloves, Nutmeg, Ripe Fruit",per bottle,Red,ABV 14.00%,,Smooth & Mellow,NV,
Chanoine Frères 'Réserve Privée' Brut Champagne,"Chanoine Frères is the second-oldest Champagne house. It was established way back in 1730, so it has spent nearly three centuries perfecting its craft. For the last two decades it has championed diversity in this traditional region, putting winemaker Isabelle Tellier at the helm – one of the first female Chefs de Caves in Champagne. Her 20 years of experience shows in this delicious brut. Made primarily from Pinot Noir grapes, it's well-structured and beautifully aromatic. Expect fine bubbles with notes of stone fruits, spice, fig and Golden Delicious apple.",£45.99 per bottle,75CL,Pinot Noir,,Natural Cork,France,9.4,"Bread, Citrus Fruit",per bottle,White,ABV 12.50%,,Rich & Toasty,NV,
"Bread & Butter 'Winemaker's Selection' Cabernet Sauvignon 2021, California","California is where you’ll find some of the world’s most coveted Cabernet Sauvignon. This is made in the image of the very best of the Golden State – and it’s exclusive to us. Bread & Butter’s philosophy is all about simple pleasures, and their wines are crafted to reflect that. This classically-styled Cabernet is aged in both French and American oak to deepen complexity and soften the texture, making for a silky-smooth sip. Expect lavish flavours of ripe berries, mocha, black pepper and toasty vanilla. Soft tannins and plush fruit make it a fantastic partner for steak with tangy blue-cheese sauce.",£15.99 per bottle,75CL,Cabernet Sauvignon,,Natural Cork,USA,10.1,"Vanilla, Black Pepper, Blackcurrant, Coffee",per bottle,Red,ABV 13.50%,California,Smooth & Mellow,2021,Napa Valley
"Balfour ‘The White’ 2021, Kent","Based in the picturesque Kent countryside, Balfour have been producing award-winning English wines for close to 20 years. In addition to their premium fizz collection, co-founders Richard and Leslie Balfour-Lynn have championed homegrown still wine – and this refreshing white blend is proof that their dedication has paid off. Using hand-picked grapes from their Hush Heath Estate vineyards, it combines the aromatic, floral character of Bacchus with the ripe stone-fruit flavours of Pinot Blanc – think elderflower, gooseberry, peach and nectarine. With its superb freshness and zingy acidity, you’ll find it a perfect match for fresh salads, asparagus or light quiches.",£16.99 per bottle,750ML,Bacchus,"Chardonnay, Pinot Blanc",Screwcap,England,8.3,"Apricot, Blossom, Dried Herbs, Peach",per bottle,White,ABV 11.00%,Kent,Crisp & Zesty,2021,
Lanson 'Le Black Creation' Brut Champagne,"With over 260 years of winemaking history, Lanson is one of the oldest houses in Champagne. Their much-loved signature cuvée, Le Black Label, was created in 1937 in honour of the house’s appointment as the official suppliers of the Royal Court of England. And now, with Le Black Création, winemaker Hervé Dantan has redefined it. Each Création is unique, made with the best grapes from over 100 crus and reserve wines dating back over a decade. And each blend carries its own number – in reference to the number of harvests that have taken place since Maison Lanson was founded in 1760. This, the 257th blend, predominantly uses wine from the 2017 vintage, which produced Chardonnay with marked freshness, intensely fruity Pinot Noir, and notably supple Pinot Meunier. It's then aged for four years before release to dial up the complexity. You’ll find it rich yet elegant with ripe citrus and orchard-fruit flavours, plus notes of brioche and dried fruits.",£42.99 per bottle,75CL,Pinot Noir,"Pinot Meunier, Chardonnay",Natural Cork,France,9.4,"Honey, Bread, Citrus Fruit",per bottle,White,ABV 12.50%,,Crisp & Fruity,NV,
Jas des Vignes Rosé Méditerranée 2021/22,"This stylish bottle has its roots in the IGP Méditerranée region, which encompasses Provence and parts of the Rhône Valley. The large area gives the pioneering winemaker plenty of options to perfect their wine. To make this, grapes are picked at night to preserve freshness.  The result is a crisp and delicate Provence-style rosé. And it’s a snip of the price of the more well-known neighbouring Provence appellations. Discover mouth-wateringly ripe strawberry and raspberry flavours. Delicious with Mediterranean vegetable quiche.",£11.99 per bottle,75CL,Grenache,"Syrah, Cinsault",Screwcap,France,9.8,"Strawberry, Peach, Raspberry",per bottle,Rosé,ABV 13.00%,Other France,Delicate & Dry,2022,
"The Gathering Storm Red 2022, Spain","When it comes to easy-drinking reds, Felix Solís have mastered the art. They’re the creators of The Guv’nor – our bestselling red. And The Gathering Storm ticks all the same boxes. It hails from La Puebla winery, acquired by Felix Solís after they realised the growing potential of the La Mancha region. After several years of major investment and modernisation, the first wines of La Puebla were launched in 2012 – and they’ve gone from strength to strength ever since. This wine gets its name from the thunderstorms and sandstorms that blow north from the Sahara which affect this arid region. Using a mixture of trellised and bush vines, winegrowers have adapted their methods in these changeable conditions to produce wines that truly deliver fantastic value for money. Soft, juicy and floral, this is a supple style of wine with abundant red berry flavour. Silky tannins result in an exceptionally smooth wine and make it a versatile accompaniment to barbecued meats, pizza or a variety of tapas.",£7.99 per bottle,75CL,Tempranillo,,Screwcap,Spain,9,,per bottle,Red,ABV 12.00%,,Soft & Fruity,2022,
